Genus.species	Biomod.name	gbif.data	GBIF	Hulten.data	Hulten	Biosci.ID	Bioscience	USGS	USGS.1	total.occ	data	Priority	Priority.PAF	Arctic.Shrubs	Arctic.Trees	Growthform.manual	Growth.form.TRY	All.height.median	Run	Rerun
Rhododendron lapponicum	Rhododendron.lapponicum	1	651	1	18021	1	325	NA	0	18997	1	3	1	1	NA	SHRUB	shrub	0.5	1	NA
Rhododendron tomentosum	Rhododendron.tomentosum	1	34939	1	108117	1	175	NA	0	143231	1	3	1	1	NA	SHRUB	shrub	1.075	1	NA
Ribes glandulosum	Ribes.glandulosum	1	443	1	69698	NA	0	NA	0	70141	1	4	1	1	NA	SHRUB	NA	1	1	NA
Ribes hirtellum	Ribes.hirtellum	1	273	NA	0	NA	0	NA	0	273	1	4	1	1	NA	SHRUB	NA	1.5	NA	1
Ribes hudsonianum	Ribes.hudsonianum	1	322	1	80143	NA	0	NA	0	80465	1	4	1	1	NA	SHRUB	NA	2	1	NA
Ribes lacustre	Ribes.lacustre	1	905	1	66516	NA	0	NA	0	67421	1	4	1	1	NA	SHRUB	NA	2	1	1
Ribes nigrum	Ribes.nigrum	1	22001	1	73907	NA	0	NA	0	95908	1	4	1	1	NA	SHRUB	NA	2	1	NA
Ribes oxyacanthoides	Ribes.oxyacanthoides	1	315	1	39822	NA	0	NA	0	40137	1	4	1	1	NA	SHRUB	NA	2	1	NA
Ribes spicatum	Ribes.spicatum	1	29452	1	190110	NA	0	NA	0	219562	1	4	1	1	NA	SHRUB	NA	1.5	1	NA
Ribes triste	Ribes.triste	1	247	1	107961	NA	0	NA	0	108208	1	4	1	1	NA	SHRUB	NA	1	1	NA
Rosa acicularis	Rosa.acicularis	1	868	1	132450	NA	0	NA	0	133318	1	3	1	1	NA	SHRUB	NA	2.1096	1	NA
Rosa majalis	Rosa.majalis	1	9799	1	77781	NA	0	NA	0	87580	1	4	1	1	NA	SHRUB	NA	NA	1	NA
Rubus acaulis	Rubus.acaulis	1	44	1	64400	NA	0	NA	0	64444	1	4	1	1	NA	"SUBSHRUB, HERB"	NA	NA	1	NA
