"Genus.species"	"Order"	"Family"	"DS"	"log10MDD_Family"	"log10MDD_Family_lwrCL"	"log10MDD_Family_uppCL"	"log10MDD_Order"	"log10MDD_Order_lwrCL"	"log10MDD_Order_uppCL"	"log10MDD"	"log10MDD_lwrCL"	"log10MDD_uppCL"	"log10MDD_measured"	"Biomod.name"
"Salix lapponum"	"Malpighiales"	"Salicaceae"	"wind.special"	2.20140976225976	1.46624087005816	2.93657865446136	2.06008416494238	1.32491527274078	2.79525305714398	1.8290208603727	1.15196019400956	2.50608152673583	NA	"Salix.lapponum"
"Salix myrsinifolia"	"Malpighiales"	"Salicaceae"	"wind.special"	2.66561809852461	2.06170127375678	3.26953492329244	2.52429250120724	1.92037567643941	3.12820932597507	2.66311233534495	2.13354008492296	3.19268458576693	NA	"Salix.myrsinifolia"
"Salix myrsinites"	"Malpighiales"	"Salicaceae"	"wind.special"	1.97753155630255	1.13635041976719	2.81871269283791	1.83620595898518	0.995024822449815	2.67738709552054	1.49538942962448	0.718486091505948	2.27229276774302	NA	"Salix.myrsinites"
"Salix myrtillifolia"	"Malpighiales"	"Salicaceae"	"wind.special"	2.22190897074456	1.47063797121502	2.97317997027411	2.08058337342719	1.32931237389764	2.83185437295674	1.84984097384431	1.15808413452316	2.54159781316546	NA	"Salix.myrtillifolia"
"Salix myrtilloides"	"Malpighiales"	"Salicaceae"	"wind.special"	2.31317148501979	1.59116598054593	3.03517698949364	2.17184588770241	1.44984038322856	2.89385139217626	1.98483483560213	1.31976051397924	2.64990915722501	NA	"Salix.myrtilloides"
"Salix niphoclada"	"Malpighiales"	"Salicaceae"	"wind.special"	2.4918887050678	1.79897390215398	3.18480350798162	2.35056310775042	1.6576483048366	3.04347791066424	2.24919011759827	1.60721562658243	2.89116460861411	NA	"Salix.niphoclada"
"Salix nummularia"	"Malpighiales"	"Salicaceae"	"wind.special"	1.68670077701281	0.629362365170636	2.74403918885498	1.54537517969543	0.488036767853263	2.6027135915376	1.05817068632196	0.0714086106604959	2.04493276198343	NA	"Salix.nummularia"
"Salix ovalifolia"	"Malpighiales"	"Salicaceae"	"wind.special"	1.77796329128803	0.784365044838482	2.77156153773758	1.63663769397066	0.643039447521108	2.6302359404202	1.19316454807978	0.268456790434629	2.11787230572494	NA	"Salix.ovalifolia"
"Salix pedicellaris"	"Malpighiales"	"Salicaceae"	"wind.special"	2.38561061788094	1.68012939051237	3.09109184524951	2.24428502056357	1.538803793195	2.94976624793214	2.09198549176119	1.4411466122302	2.74282437129218	NA	"Salix.pedicellaris"
"Salix pellita"	"Malpighiales"	"Salicaceae"	"wind.special"	2.63807801839089	2.02928970847631	3.24686632830546	2.49675242107351	1.88796411115894	3.10554073098809	2.62237554653416	2.08633692361333	3.15841416945499	NA	"Salix.pellita"
"Salix pentandra"	"Malpighiales"	"Salicaceae"	"wind.special"	2.80177966552727	2.2055434659488	3.39801586510574	2.66045406820989	2.06421786863142	3.25669026778836	2.86452006445104	2.34956127292689	3.37947885597519	NA	"Salix.pentandra"
"Salix phlebophylla"	"Malpighiales"	"Salicaceae"	"wind.special"	1.83807637269203	0.884509035031707	2.79164371035236	1.69675077537466	0.743183437714333	2.65031811303499	1.28208273168819	0.396288558501705	2.16787690487467	NA	"Salix.phlebophylla"
"Salix phylicifolia"	"Malpighiales"	"Salicaceae"	"wind.special"	2.49820842924688	1.80333578154499	3.19308107694877	2.35688283192951	1.66201018422762	3.0517554796314	2.25608128486554	1.61264337302365	2.89951919670743	NA	"Salix.phylicifolia"
"Salix planifolia"	"Malpighiales"	"Salicaceae"	"wind.special"	2.62605797365829	2.01480671002812	3.23730923728846	2.48473237634092	1.87348111271075	3.09598363997108	2.60459571360011	2.06538701883637	3.14380440836385	NA	"Salix.planifolia"
"Salix polaris"	"Malpighiales"	"Salicaceae"	"wind.special"	1.79499111105607	0.812901473277938	2.77708074883421	1.6536655137387	0.671575875960565	2.63575515151684	1.21835179134236	0.304837285129424	2.1318662975553	NA	"Salix.polaris"
"Salix pseudomonticola"	"Malpighiales"	"Salicaceae"	"wind.special"	2.61674272130017	2.01609415301058	3.21739128958976	2.4754171239828	1.87476855569321	3.07606569227239	2.59327361518763	2.06603492148064	3.12051230889462	NA	"Salix.pseudomonticola"
"Salix pseudomyrsinites"	"Malpighiales"	"Salicaceae"	"wind.special"	2.66561809852461	2.06170127375678	3.26953492329244	2.52429250120724	1.92037567643941	3.12820932597507	2.66311233534495	2.13354008492296	3.19268458576693	NA	"Salix.pseudomyrsinites"
"Salix pulchra"	"Malpighiales"	"Salicaceae"	"wind.special"	2.48174187820035	1.78824791228208	3.17523584411862	2.34041628088298	1.64692231496471	3.03391024680124	2.23418111467628	1.59199539161903	2.87636683773354	NA	"Salix.pulchra"
"Salix pyrolifolia"	"Malpighiales"	"Salicaceae"	"wind.special"	2.66561809852461	2.06170127375678	3.26953492329244	2.52429250120724	1.92037567643941	3.12820932597507	2.66311233534495	2.13354008492296	3.19268458576693	NA	"Salix.pyrolifolia"
"Salix recurvigemmis"	"Malpighiales"	"Salicaceae"	"wind.special"	2.33019930478783	1.61263326295139	3.04776534662427	2.18887370747046	1.47130766563402	2.90643974930689	2.01002207886471	1.3488681474818	2.67117601024761	NA	"Salix.recurvigemmis"
"Salix reptans"	"Malpighiales"	"Salicaceae"	"wind.special"	2.33019930478783	1.61263326295139	3.04776534662427	2.18887370747046	1.47130766563402	2.90643974930689	2.01002207886471	1.3488681474818	2.67117601024761	NA	"Salix.reptans"
"Salix reticulata"	"Malpighiales"	"Salicaceae"	"wind.special"	1.92694553301248	1.00412725917854	2.84976380684641	1.7856199356951	0.86280166186117	2.70843820952904	1.40789347042847	0.551587138734138	2.2641998021228	NA	"Salix.reticulata"
"Salix richardsonii"	"Malpighiales"	"Salicaceae"	"wind.special"	2.6236984169029	2.01193996455402	3.23545686925179	2.48237281958553	1.87061436723665	3.09413127193441	2.60110549989105	2.06125018930537	3.14096081047673	NA	"Salix.richardsonii"
"Salix rosmarinifolia"	"Malpighiales"	"Salicaceae"	"wind.special"	2.31317148501979	1.59116598054593	3.03517698949364	2.17184588770241	1.44984038322856	2.89385139217626	1.98483483560213	1.31976051397924	2.64990915722501	NA	"Salix.rosmarinifolia"
"Salix rotundifolia"	"Malpighiales"	"Salicaceae"	"wind.special"	1.77796329128803	0.784365044838482	2.77156153773758	1.63663769397066	0.643039447521108	2.6302359404202	1.19316454807978	0.268456790434629	2.11787230572494	NA	"Salix.rotundifolia"
"Salix saxatilis"	"Malpighiales"	"Salicaceae"	"wind.special"	2.18933596947428	1.42552021856481	2.95315172038376	2.04801037215691	1.28419462124743	2.81182612306638	1.80165957904669	1.09820237515713	2.50511678293625	NA	"Salix.saxatilis"
"Salix serissima"	"Malpighiales"	"Salicaceae"	"wind.special"	2.58416972002989	1.97601852719653	3.19232091286325	2.44284412271252	1.83469292987915	3.05099531554588	2.54509222039001	2.00837279430059	3.08181164647944	NA	"Salix.serissima"
"Salix sphenophylla"	"Malpighiales"	"Salicaceae"	"wind.special"	1.93437180806268	1.04109977625836	2.82764383986699	1.79304621074531	0.899774178940991	2.68631824254962	1.42452119937199	0.597189290105211	2.25185310863877	NA	"Salix.sphenophylla"
"Salix triandra"	"Malpighiales"	"Salicaceae"	"wind.special"	2.63807801839089	2.02928970847631	3.24686632830546	2.49675242107351	1.88796411115894	3.10554073098809	2.62237554653416	2.08633692361333	3.15841416945499	NA	"Salix.triandra"
"Salix tschuktschorum"	"Malpighiales"	"Salicaceae"	"wind.special"	2.33019930478783	1.61263326295139	3.04776534662427	2.18887370747046	1.47130766563402	2.90643974930689	2.01002207886471	1.3488681474818	2.67117601024761	NA	"Salix.tschuktschorum"
