"Genus.species"	"Biomod.name"	"gbif.data"	"GBIF"	"Hulten.data"	"Hulten"	"Biosci.ID"	"Bioscience"	"USGS"	"USGS.1"	"total.occ"	"data"	"Priority"	"Priority.PAF"	"Arctic.Shrubs"	"Arctic.Trees"	"Growthform.manual"	"Growth.form.TRY"	"Growth.form.height"	"All.height.median"	"Mig.rate.m.yr"	"Mig.rate.ref"	"Run"	"Rerun"	"Seed.Mass.Median"	"Growth.form.isla"
"Dryas punctata"	"Dryas.punctata"	1	243	1	12953	NA	0	NA	0	13196	1	4	1	1	NA	"DWARF-SHRUB"	NA	"SHRUB"	0.074375	NA	""	1	NA	0.621723711	"Dwarf Shrubs"
"Empetrum atropurpureum"	"Empetrum.atropurpureum"	1	24	NA	0	NA	0	NA	0	24	1	2	1	1	NA	"SHRUB, SUBSHRUB"	NA	"SHRUB"	0.316833334	138	""	NA	1	1.2025	"Low Shrubs"
"Empetrum eamesii"	"Empetrum.eamesii"	1	53	NA	0	NA	0	NA	0	53	1	2	1	1	NA	"SHRUB, SUBSHRUB"	NA	"SHRUB"	0.316833334	138	""	NA	1	1.2025	"Low Shrubs"
"Empetrum nigrum"	"Empetrum.nigrum"	1	49579	1	119262	1	391	NA	0	169232	1	1	1	1	NA	"SHRUB, SUBSHRUB"	"shrub"	"SHRUB"	0.316833334	138	"Normand.etal.2013.REST "	1	NA	1.2025	"Low Shrubs"
"Gaultheria hispidula"	"Gaultheria.hispidula"	1	287	NA	0	NA	0	NA	0	287	1	4	1	1	NA	"SHRUB"	NA	"SHRUB"	0.14	NA	""	NA	1	NA	"Dwarf Shrubs"
"Harrimanella hypnoides"	"Harrimanella.hypnoides"	1	4079	1	6514	1	266	NA	0	10859	1	2	1	1	NA	"SHRUB, SUBSHRUB"	NA	"SHRUB"	0.0175	NA	""	1	NA	0.009333333	"Dwarf Shrubs"
"Harrimanella stelleriana"	"Harrimanella.stelleriana"	1	211	1	10504	NA	0	NA	0	10715	1	3	1	1	NA	"SHRUB, SUBSHRUB"	NA	"SHRUB"	0.0175	NA	""	1	NA	0.03	"Dwarf Shrubs"
"Kalmia polifolia"	"Kalmia.polifolia"	1	882	1	70454	NA	0	NA	0	71336	1	4	1	1	NA	"SHRUB"	"shrub"	"SHRUB"	0.7	NA	""	1	NA	0.012019324	"Tall Shrubs"
"Kalmia procumbens"	"Kalmia.procumbens"	1	12866	1	17028	1	250	NA	0	30144	1	3	1	1	NA	"SHRUB"	"shrub"	"SHRUB"	0.11375	NA	""	1	NA	0.01721625	"Dwarf Shrubs"
"Linnaea borealis"	"Linnaea.borealis"	1	19937	1	150385	1	26	NA	0	170348	1	3	1	1	NA	"SUBSHRUB"	"shrub"	"SHRUB"	0.155	NA	""	1	NA	0.87	"Dwarf Shrubs"
"Lonicera caerulea"	"Lonicera.caerulea"	1	832	1	34149	NA	0	NA	0	34981	1	4	1	1	NA	"SHRUB"	NA	"SHRUB"	2.5	NA	""	1	NA	NA	"Tall Shrubs"
"Lonicera villosa"	"Lonicera.villosa"	1	266	1	4434	NA	0	NA	0	4700	1	4	1	1	NA	"SHRUB"	NA	"SHRUB"	0.9144	NA	""	1	NA	NA	"Tall Shrubs"
"Luetkea pectinata"	"Luetkea.pectinata"	1	229	1	18360	NA	0	NA	0	18589	1	4	1	1	NA	"SUBSHRUB"	NA	"SHRUB"	0.2	NA	""	1	NA	NA	"Low Shrubs"
"Myrica gale"	"Myrica.gale"	1	17673	1	34703	NA	0	NA	0	52376	1	4	1	1	NA	"SHRUB"	NA	"SHRUB"	2	2	"Normand.etal.2013.REST "	1	NA	NA	"Tall Shrubs"
"Oxycoccus microcarpus"	"Oxycoccus.microcarpus"	1	10531	1	32897	NA	0	NA	0	43428	1	2	1	1	NA	"SHRUB"	NA	"SHRUB"	0.35	NA	""	1	NA	NA	"Low Shrubs"
"Oxycoccus palustris"	"Oxycoccus.palustris"	1	43541	1	68219	1	109	NA	0	111869	1	2	1	1	NA	"SHRUB"	NA	"SHRUB"	0.03	NA	""	1	NA	NA	"Dwarf Shrubs"
"Phyllodoce aleutica"	"Phyllodoce.aleutica"	1	144	1	20250	NA	0	NA	0	20394	1	3	1	1	NA	"SHRUB, SUBSHRUB"	NA	"SHRUB"	0.25	NA	""	1	NA	0.02	"Low Shrubs"
"Phyllodoce caerulea"	"Phyllodoce.caerulea"	1	7215	1	10019	1	318	NA	0	17552	1	3	1	1	NA	"SHRUB, SUBSHRUB"	"shrub"	"SHRUB"	0.1198	NA	""	1	NA	0.02	"Dwarf Shrubs"
"Rhododendron aureum"	"Rhododendron.aureum"	1	30	NA	0	NA	0	NA	0	30	1	4	1	1	NA	"DWARF-SHRUB"	NA	"SHRUB"	1	2	""	NA	1	0.0295	"Tall Shrubs"
"Rhododendron groenlandicum"	"Rhododendron.groenlandicum"	1	861	1	87468	1	175	NA	0	88504	1	3	1	1	NA	"SHRUB"	"shrub"	"SHRUB"	0.95	2	""	1	NA	0.0295	"Tall Shrubs"
"Rhododendron lapponicum"	"Rhododendron.lapponicum"	1	651	1	18021	1	325	NA	0	18997	1	3	1	1	NA	"SHRUB"	"shrub"	"SHRUB"	0.5	2	"Normand.etal.2013.REST "	1	NA	0.0295	"Tall Shrubs"
"Rhododendron tomentosum"	"Rhododendron.tomentosum"	1	34939	1	108117	1	175	NA	0	143231	1	3	1	1	NA	"SHRUB"	"shrub"	"SHRUB"	1.075	2	"Normand.etal.2013.REST "	1	NA	0.01575	"Tall Shrubs"
"Ribes glandulosum"	"Ribes.glandulosum"	1	443	1	69698	NA	0	NA	0	70141	1	4	1	1	NA	"SHRUB"	NA	"SHRUB"	1	NA	""	1	NA	NA	"Tall Shrubs"
"Ribes hirtellum"	"Ribes.hirtellum"	1	273	NA	0	NA	0	NA	0	273	1	4	1	1	NA	"SHRUB"	NA	"SHRUB"	1.5	NA	""	NA	1	NA	"Tall Shrubs"
"Ribes hudsonianum"	"Ribes.hudsonianum"	1	322	1	80143	NA	0	NA	0	80465	1	4	1	1	NA	"SHRUB"	NA	"SHRUB"	2	NA	""	1	NA	NA	"Tall Shrubs"
"Ribes lacustre"	"Ribes.lacustre"	1	905	1	66516	NA	0	NA	0	67421	1	4	1	1	NA	"SHRUB"	NA	"SHRUB"	2	NA	""	1	1	NA	"Tall Shrubs"
"Ribes nigrum"	"Ribes.nigrum"	1	22001	1	73907	NA	0	NA	0	95908	1	4	1	1	NA	"SHRUB"	NA	"SHRUB"	2	NA	""	1	NA	NA	"Tall Shrubs"
"Ribes oxyacanthoides"	"Ribes.oxyacanthoides"	1	315	1	39822	NA	0	NA	0	40137	1	4	1	1	NA	"SHRUB"	NA	"SHRUB"	2	NA	""	1	NA	NA	"Tall Shrubs"
"Ribes spicatum"	"Ribes.spicatum"	1	29452	1	190110	NA	0	NA	0	219562	1	4	1	1	NA	"SHRUB"	NA	"SHRUB"	1.5	NA	""	1	NA	NA	"Tall Shrubs"
"Ribes triste"	"Ribes.triste"	1	247	1	107961	NA	0	NA	0	108208	1	4	1	1	NA	"SHRUB"	NA	"SHRUB"	1	NA	""	1	NA	NA	"Tall Shrubs"
"Rosa acicularis"	"Rosa.acicularis"	1	868	1	132450	NA	0	NA	0	133318	1	3	1	1	NA	"SHRUB"	NA	"SHRUB"	2.1096	NA	""	1	NA	12.0043599	"Tall Shrubs"
"Rosa majalis"	"Rosa.majalis"	1	9799	1	77781	NA	0	NA	0	87580	1	4	1	1	NA	"SHRUB"	NA	"SHRUB"	2	NA	""	1	NA	12.0043599	"Tall Shrubs"
"Rubus acaulis"	"Rubus.acaulis"	1	44	1	64400	NA	0	NA	0	64444	1	4	1	1	NA	"SUBSHRUB, HERB"	NA	"SHRUB"	0.3012	NA	""	1	NA	NA	"Low Shrubs"
"Rubus arcticus"	"Rubus.arcticus"	1	12798	1	99937	NA	0	NA	0	112735	1	4	1	1	NA	"SUBSHRUB, HERB"	NA	"SHRUB"	0.3024	NA	""	1	NA	1.677402039	"Low Shrubs"
"Rubus chamaemorus"	"Rubus.chamaemorus"	1	33141	1	181721	1	11	NA	0	214873	1	3	1	1	NA	"SUBSHRUB, HERB"	"herbaceous"	"SHRUB"	0.175	NA	""	1	NA	7.878333334	"Dwarf Shrubs"
"Rubus idaeus"	"Rubus.idaeus"	1	66394	1	139191	NA	0	NA	0	205585	1	4	1	1	NA	"SHRUB"	NA	"SHRUB"	2	NA	""	1	NA	4.777867686	"Tall Shrubs"
"Rubus pubescens"	"Rubus.pubescens"	1	275	1	14569	NA	0	NA	0	14844	1	4	1	1	NA	"SUBSHRUB, HERB"	NA	"SHRUB"	0.3	NA	""	1	NA	4.777867686	"Low Shrubs"
"Rubus stellatus"	"Rubus.stellatus"	1	120	1	20021	NA	0	NA	0	20141	1	4	1	1	NA	"SUBSHRUB, HERB"	NA	"SHRUB"	0.3012	NA	""	1	NA	4.777867686	"Low Shrubs"
"Salix arbuscula"	"Salix.arbuscula"	1	1090	1	2715	NA	0	NA	0	3805	1	2	1	1	NA	"SHRUB"	NA	"SHRUB"	0.7	NA	""	1	NA	0.224083334	"Tall Shrubs"
"Salix arctica"	"Salix.arctica"	1	4267	1	30118	1	332	NA	0	34717	1	1	1	1	NA	"SHRUB"	"tree"	"SHRUB"	0.15	NA	""	1	NA	0.04	"Dwarf Shrubs"
"Salix arctophila"	"Salix.arctophila"	1	321	1	41376	1	276	NA	0	41973	1	2	1	1	NA	"DWARF-SHRUB"	NA	"SHRUB"	0.15	NA	""	1	NA	0.224083334	"Dwarf Shrubs"
"Salix argyrocarpa"	"Salix.argyrocarpa"	1	26	NA	0	NA	0	NA	0	26	1	2	1	1	NA	"SHRUB"	NA	"SHRUB"	1	NA	""	NA	1	0.224083334	"Tall Shrubs"
"Salix ballii"	"Salix.ballii"	1	23	NA	0	NA	0	NA	0	23	1	2	1	1	NA	"SHRUB"	NA	"SHRUB"	1.2	NA	""	NA	1	0.224083334	"Tall Shrubs"
"Salix barrattiana"	"Salix.barrattiana"	1	152	1	15772	NA	0	NA	0	15924	1	1	1	1	NA	"SHRUB"	NA	"SHRUB"	1.5	NA	""	1	NA	0.224083334	"Tall Shrubs"
"Salix berberifolia"	"Salix.berberifolia"	1	3	1	19369	NA	0	NA	0	19372	1	2	1	1	NA	"SHRUB"	NA	"SHRUB"	1.1	NA	""	1	NA	0.224083334	"Tall Shrubs"
"Salix boganidensis"	"Salix.boganidensis"	1	4	1	22466	NA	0	NA	0	22470	1	2	1	1	NA	"SHRUB"	NA	"SHRUB"	1.1	NA	""	1	NA	0.224083334	"Tall Shrubs"
"Salix brachycarpa"	"Salix.brachycarpa"	1	404	1	26608	NA	0	NA	0	27012	1	2	1	1	NA	"SHRUB"	"NA,shrub"	"SHRUB"	1.5	NA	""	1	NA	0.224083334	"Tall Shrubs"
"Salix calcicola"	"Salix.calcicola"	1	135	1	1217	NA	0	NA	0	1352	1	2	1	1	NA	"SHRUB"	NA	"SHRUB"	1.3	NA	""	1	NA	0.224083334	"Tall Shrubs"
"Salix candida"	"Salix.candida"	1	262	1	43059	NA	0	NA	0	43321	1	2	1	1	NA	"SHRUB"	NA	"SHRUB"	1	NA	""	1	NA	0.224083334	"Tall Shrubs"
"Salix chamissonis"	"Salix.chamissonis"	1	104	1	23158	NA	0	NA	0	23262	1	2	1	1	NA	"SHRUB, SUBSHRUB"	NA	"SHRUB"	0.1	NA	""	1	NA	0.224083334	"Dwarf Shrubs"
