Genus.species	Biomod.name	gbif.data	GBIF	Hulten.data	Hulten	Biosci.ID	Bioscience	USGS	USGS.1	total.occ	data	Priority	Priority.PAF	Arctic.Shrubs	Arctic.Trees	Growthform.manual	Growth.form.TRY	Growth.form.height	All.height.median	Mig.rate.m.yr	Mig.rate.ref	Run	Rerun	Seed.Mass.Median	Seed.Mass.Median.Kew	DISP	DISP_INDK	DISP_VITTOZ	DISP_KEW	Complement_info	DISP_INDKMAN	VEGDISP_INDKMAN	DISP_TRY	Species	DS	GF	RH	SM.kew	SM.try	TV
Diapensia obovata	Diapensia.obovata	1	102	1	3585	NA	0	NA	0	3687	1	4	1	1	NA	PINCUSHIAN, SHRUB	NA	SHRUB	0.05	NA		1	NA	0.12	NA	NA	NA	NA	NA	NA	NA	NA	NA	Diapensia obovata	NA	shrub	-1.3010299957	#VALEUR !	-0.920818754	
Dryas ajanensis	Dryas.ajanensis	1	21	NA	0	NA	0	NA	0	21	1	4	1	1	NA	DWARF-SHRUB	NA	SHRUB	0.074375	NA		NA	1	0.621723711	NA	NA	NA	NA	NA	NA	NA	NA	NA	Dryas ajanensis	NA	shrub	-1.1285730213	#VALEUR !	-0.2064025694	
Dryas drummondii	Dryas.drummondii	1	194	1	21852	NA	0	NA	0	22046	1	4	1	1	NA	DWARF-SHRUB	NA	SHRUB	0.074375	NA		1	NA	0.621723711	NA	NA	NA	NA	NA	NA	NA	NA	NA	Dryas drummondii	NA	shrub	-1.1285730213	#VALEUR !	-0.2064025694	
Dryas incisa	Dryas.incisa	1	36	NA	0	NA	0	NA	0	36	1	4	1	1	NA	DWARF-SHRUB	NA	SHRUB	0.074375	NA		NA	1	0.621723711	NA	NA	NA	NA	NA	NA	NA	NA	NA	Dryas incisa	NA	shrub	-1.1285730213	#VALEUR !	-0.2064025694	
Dryas integrifolia	Dryas.integrifolia	1	507	1	79340	1	414	NA	0	80261	1	3	1	1	NA	DWARF-SHRUB	shrub	SHRUB	0.05	NA		1	NA	0.72	NA	NA	NA	NA	Wind	NA	NA	NA	NA	Dryas integrifolia	wind.special	shrub	-1.3010299957	#VALEUR !	-0.1426675036	
Dryas octopetala	Dryas.octopetala	1	5547	1	19850	1	34	NA	0	25431	1	3	1	1	NA	DWARF-SHRUB	shrub	SHRUB	0.09875	NA		1	NA	0.523447422	NA	Wind dispersal	meteorochory	3	Wind	NA	me hy	kt	NA	Dryas octopetala	wind.none	shrub	-1.0054628957	#VALEUR !	-0.2811269348	
Dryas punctata	Dryas.punctata	1	243	1	12953	NA	0	NA	0	13196	1	4	1	1	NA	DWARF-SHRUB	NA	SHRUB	0.074375	NA		1	NA	0.621723711	NA	NA	NA	NA	NA	NA	NA	NA	NA	Dryas punctata	NA	shrub	-1.1285730213	#VALEUR !	-0.2064025694	
Empetrum atropurpureum	Empetrum.atropurpureum	1	24	NA	0	NA	0	NA	0	24	1	2	1	1	NA	SHRUB, SUBSHRUB	NA	SHRUB	0.316833334	138		NA	1	1.2025	NA	NA	NA	NA	NA	NA	NA	NA	NA	Empetrum atropurpureum	NA	shrub	-0.4991691326	#VALEUR !	0.080085085	
Empetrum eamesii	Empetrum.eamesii	1	53	NA	0	NA	0	NA	0	53	1	2	1	1	NA	SHRUB, SUBSHRUB	NA	SHRUB	0.316833334	138		NA	1	1.2025	NA	NA	NA	NA	NA	NA	NA	NA	NA	Empetrum eamesii	NA	shrub	-0.4991691326	#VALEUR !	0.080085085	
Empetrum nigrum	Empetrum.nigrum	1	49579	1	119262	1	391	NA	0	169232	1	1	1	1	NA	SHRUB, SUBSHRUB	shrub	SHRUB	0.316833334	138	Normand.etal.2013.REST 	1	NA	1.2025	NA	Endozoochory	endochory	6	Animal	NA	en	kt	Animal	Empetrum nigrum	animal	shrub	-0.4991691326	#VALEUR !	0.080085085	
Gaultheria hispidula	Gaultheria.hispidula	1	287	NA	0	NA	0	NA	0	287	1	4	1	1	NA	SHRUB	NA	SHRUB	0.14	NA		NA	1	NA	0.15	NA	NA	NA	Animal	Mammals (non-bat)+bird	NA	NA	NA	Gaultheria hispidula	animal	shrub	-0.8538719643	-0.8239087409	#VALEUR !	
Harrimanella hypnoides	Harrimanella.hypnoides	1	4079	1	6514	1	266	NA	0	10859	1	2	1	1	NA	SHRUB, SUBSHRUB	NA	SHRUB	0.0175	NA		1	NA	0.009333333	NA	NA	NA	NA	NA	NA	NA	NA	NA	Harrimanella hypnoides	NA	shrub	-1.7569619513	#VALEUR !	-2.0299632389	
Harrimanella stelleriana	Harrimanella.stelleriana	1	211	1	10504	NA	0	NA	0	10715	1	3	1	1	NA	SHRUB, SUBSHRUB	NA	SHRUB	0.0175	NA		1	NA	0.03	NA	NA	NA	NA	NA	NA	NA	NA	NA	Harrimanella stelleriana	NA	shrub	-1.7569619513	#VALEUR !	-1.5228787453	
Juniperus communis	Juniperus.communis	1	54746	1	70594	1	199	NA	0	125539	1	1	1	1	1	SHRUB, TREE	shrub	TREE	7.5675	138	Normand.etal.2013.REST 	1	NA	8.883875	NA	Endozoochory	dysochory	6	Animal	Birds	en dy	kv	animal	Juniperus communis	animal	tree	0.8789524296	#VALEUR !	0.9486024392	
Juniperus horizontalis	Juniperus.horizontalis	1	304	1	44245	NA	0	NA	0	44549	1	2	1	1	NA	SUBSHRUB	NA	TREE	7.5675	138		1	NA	8.883875	NA	NA	NA	NA	NA	NA	NA	NA	NA	Juniperus horizontalis	NA	tree	0.8789524296	#VALEUR !	0.9486024392	
Kalmia polifolia	Kalmia.polifolia	1	882	1	70454	NA	0	NA	0	71336	1	4	1	1	NA	SHRUB	shrub	SHRUB	0.7	NA		1	NA	0.012019324	NA	NA	NA	NA	Unassisted	NA	NA	NA	NA	Kalmia polifolia	wind.none	shrub	-0.15490196	#VALEUR !	-1.9201199576	
Kalmia procumbens	Kalmia.procumbens	1	12866	1	17028	1	250	NA	0	30144	1	3	1	1	NA	SHRUB	shrub	SHRUB	0.11375	NA		1	NA	0.01721625	NA	NA	NA	NA	NA	NA	NA	NA	NA	Kalmia procumbens	NA	shrub	-0.9440485947	#VALEUR !	-1.7640614395	
Larix dahurica	Larix.dahurica	NA	0	1	64482	NA	0	NA	0	64482	1	4	1	NA	1	TREE	NA	TREE	37.88595	170		NA	1	6.345895542	NA	NA	NA	NA	NA	NA	NA	NA	NA	Larix dahurica	NA	tree	1.5784781818	#VALEUR !	0.802492919	
Larix laricina	Larix.laricina	1	794	NA	0	NA	0	1	58925	59719	1	4	1	NA	1	TREE	NA	TREE	20	170	Normand.etal.2013.REST 	NA	1	6.345895542	NA	NA	NA	NA	Wind	NA	NA	NA	NA	Larix laricina	wind.special	tree	1.3010299957	#VALEUR !	0.802492919	
Larix sibirica	Larix.sibirica	1	180	1	58169	NA	0	NA	0	58349	1	4	1	NA	1	TREE	NA	TREE	50	170	Normand.etal.2013.REST 	NA	1	6.345895542	NA	NA	NA	NA	Wind	NA	NA	NA	NA	Larix sibirica	wind.special	tree	1.6989700043	#VALEUR !	0.802492919	
Linnaea borealis	Linnaea.borealis	1	19937	1	150385	1	26	NA	0	170348	1	3	1	1	NA	SUBSHRUB	shrub	SHRUB	0.155	NA		1	NA	0.87	NA	Unassisted dispersal	epichory	6	Animal	Mammals (non-bat).; deer, rabbit	ep	kt	NA	Linnaea borealis	animal	shrub	-0.8096683018	#VALEUR !	-0.0604807474	
Lonicera caerulea	Lonicera.caerulea	1	832	1	34149	NA	0	NA	0	34981	1	4	1	1	NA	SHRUB	NA	SHRUB	2.5	NA		1	NA	NA	1.4	Endozoochory	endochory	6	Animal	NA	en	sr	NA	Lonicera caerulea	animal	shrub	0.3979400087	0.1461280357	#VALEUR !	
Lonicera involucrata	Lonicera.involucrata	1	1021	1	40190	NA	0	NA	0	41211	1	4	1	1	NA	SHRUB	NA	TREE	5	NA		1	NA	NA	1.54	NA	NA	NA	Animal	Birds	NA	NA	NA	Lonicera involucrata	animal	tree	0.6989700043	0.1875207208	#VALEUR !	
Lonicera villosa	Lonicera.villosa	1	266	1	4434	NA	0	NA	0	4700	1	4	1	1	NA	SHRUB	NA	SHRUB	0.9144	NA		1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Lonicera villosa	NA	shrub	-0.0388637826	#VALEUR !	#VALEUR !	
Luetkea pectinata	Luetkea.pectinata	1	229	1	18360	NA	0	NA	0	18589	1	4	1	1	NA	SUBSHRUB	NA	SHRUB	0.2	NA		1	NA	NA	0.092	NA	NA	NA	NA	NA	NA	NA	NA	Luetkea pectinata	NA	shrub	-0.6989700043	-1.0362121727	#VALEUR !	
Myrica gale	Myrica.gale	1	17673	1	34703	NA	0	NA	0	52376	1	4	1	1	NA	SHRUB	NA	SHRUB	2	2	Normand.etal.2013.REST 	1	NA	NA	1.57	NA	NA	NA	NA	NA	NA	NA	NA	Myrica gale	NA	shrub	0.3010299957	0.1958996524	#VALEUR !	
Oxycoccus microcarpus	Oxycoccus.microcarpus	1	10531	1	32897	NA	0	NA	0	43428	1	2	1	1	NA	SHRUB	NA	SHRUB	0.35	NA		1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Oxycoccus microcarpus	NA	shrub	-0.4559319556	#VALEUR !	#VALEUR !	
Oxycoccus palustris	Oxycoccus.palustris	1	43541	1	68219	1	109	NA	0	111869	1	2	1	1	NA	SHRUB	NA	SHRUB	0.03	NA		1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Oxycoccus palustris	NA	shrub	-1.5228787453	#VALEUR !	#VALEUR !	
Phyllodoce aleutica	Phyllodoce.aleutica	1	144	1	20250	NA	0	NA	0	20394	1	3	1	1	NA	SHRUB, SUBSHRUB	NA	SHRUB	0.25	NA		1	NA	0.02	NA	NA	NA	NA	NA	NA	NA	NA	NA	Phyllodoce aleutica	NA	shrub	-0.6020599913	#VALEUR !	-1.6989700043	
